account_id,customer_id,currency,status
ACC_1000000,CUST_100000,AED,Active
ACC_1000001,CUST_100001,AED,Active
ACC_1000002,CUST_100002,AED,Active
ACC_1000003,CUST_100003,USD,Active
ACC_1000004,CUST_100004,AED,Active
ACC_1000005,CUST_100005,USD,Active
ACC_1000006,CUST_100006,AED,Active
ACC_1000007,CUST_100006,EUR,Active
ACC_1000008,CUST_100007,USD,Active
ACC_1000009,CUST_100008,AED,Active
ACC_1000010,CUST_100009,AED,Active
ACC_1000011,CUST_100010,AED,Active
ACC_1000012,CUST_100011,AED,Active
ACC_1000013,CUST_100012,AED,Active
ACC_1000014,CUST_100013,AED,Active
ACC_1000015,CUST_100014,AED,Active
ACC_1000016,CUST_100015,AED,Active
ACC_1000017,CUST_100016,AED,Active
ACC_1000018,CUST_100017,AED,Active
ACC_1000019,CUST_100018,EUR,Active
ACC_1000020,CUST_100019,AED,Active
ACC_1000021,CUST_100019,AED,Active
ACC_1000022,CUST_100020,AED,Active
ACC_1000023,CUST_100021,AED,Active
ACC_1000024,CUST_100022,AED,Active
ACC_1000025,CUST_100023,AED,Active
ACC_1000026,CUST_100024,AED,Active
ACC_1000027,CUST_100025,AED,Active
ACC_1000028,CUST_100026,EUR,Active
ACC_1000029,CUST_100027,AED,Active
ACC_1000030,CUST_100027,AED,Active
ACC_1000031,CUST_100028,AED,Active
ACC_1000032,CUST_100029,AED,Active
ACC_1000033,CUST_100029,AED,Active
ACC_1000034,CUST_100030,AED,Active
ACC_1000035,CUST_100030,AED,Active
ACC_1000036,CUST_100031,AED,Active
ACC_1000037,CUST_100031,USD,Active
ACC_1000038,CUST_100032,AED,Active
ACC_1000039,CUST_100032,AED,Active
ACC_1000040,CUST_100033,AED,Active
ACC_1000041,CUST_100034,AED,Active
ACC_1000042,CUST_100034,AED,Active
ACC_1000043,CUST_100035,AED,Active
ACC_1000044,CUST_100036,AED,Active
ACC_1000045,CUST_100037,AED,Active
ACC_1000046,CUST_100037,AED,Active
ACC_1000047,CUST_100038,AED,Active
ACC_1000048,CUST_100039,AED,Active
ACC_1000049,CUST_100040,USD,Active
ACC_1000050,CUST_100041,AED,Active
ACC_1000051,CUST_100042,AED,Active
ACC_1000052,CUST_100043,AED,Active
ACC_1000053,CUST_100044,AED,Active
ACC_1000054,CUST_100045,AED,Active
ACC_1000055,CUST_100046,AED,Active
ACC_1000056,CUST_100047,AED,Active
ACC_1000057,CUST_100048,USD,Active
ACC_1000058,CUST_100049,AED,Active
ACC_1000059,CUST_100050,AED,Active
ACC_1000060,CUST_100050,AED,Active
ACC_1000061,CUST_100051,AED,Active
ACC_1000062,CUST_100052,AED,Active
ACC_1000063,CUST_100053,AED,Active
ACC_1000064,CUST_100053,AED,Active
ACC_1000065,CUST_100054,AED,Active
ACC_1000066,CUST_100055,AED,Active
ACC_1000067,CUST_100056,AED,Active
ACC_1000068,CUST_100057,AED,Active
ACC_1000069,CUST_100058,AED,Active
ACC_1000070,CUST_100059,AED,Active
ACC_1000071,CUST_100060,AED,Active
ACC_1000072,CUST_100060,AED,Active
ACC_1000073,CUST_100061,AED,Active
ACC_1000074,CUST_100062,AED,Active
ACC_1000075,CUST_100063,AED,Active
ACC_1000076,CUST_100064,USD,Active
ACC_1000077,CUST_100065,EUR,Active
ACC_1000078,CUST_100066,AED,Active
ACC_1000079,CUST_100066,AED,Active
ACC_1000080,CUST_100067,AED,Active
ACC_1000081,CUST_100068,AED,Active
ACC_1000082,CUST_100069,AED,Active
ACC_1000083,CUST_100070,AED,Active
ACC_1000084,CUST_100070,AED,Active
ACC_1000085,CUST_100071,AED,Active
ACC_1000086,CUST_100072,AED,Active
ACC_1000087,CUST_100073,AED,Active
ACC_1000088,CUST_100073,USD,Active
ACC_1000089,CUST_100074,AED,Active
ACC_1000090,CUST_100075,AED,Active
ACC_1000091,CUST_100076,AED,Active
ACC_1000092,CUST_100077,USD,Active
ACC_1000093,CUST_100078,AED,Active
ACC_1000094,CUST_100079,AED,Active
ACC_1000095,CUST_100080,AED,Active
ACC_1000096,CUST_100081,EUR,Active
ACC_1000097,CUST_100082,AED,Active
ACC_1000098,CUST_100083,AED,Active
ACC_1000099,CUST_100084,AED,Active
ACC_1000100,CUST_100085,AED,Active
ACC_1000101,CUST_100086,AED,Active
ACC_1000102,CUST_100087,AED,Active
ACC_1000103,CUST_100087,AED,Active
ACC_1000104,CUST_100088,USD,Active
ACC_1000105,CUST_100089,AED,Active
ACC_1000106,CUST_100090,AED,Active
ACC_1000107,CUST_100091,AED,Active
ACC_1000108,CUST_100092,USD,Active
ACC_1000109,CUST_100093,AED,Active
ACC_1000110,CUST_100094,AED,Active
ACC_1000111,CUST_100095,AED,Active
ACC_1000112,CUST_100095,AED,Active
ACC_1000113,CUST_100096,AED,Active
ACC_1000114,CUST_100096,AED,Active
ACC_1000115,CUST_100097,AED,Active
ACC_1000116,CUST_100098,USD,Active
ACC_1000117,CUST_100099,AED,Active
ACC_1000118,CUST_100100,AED,Active
ACC_1000119,CUST_100101,AED,Active
ACC_1000120,CUST_100102,AED,Active
ACC_1000121,CUST_100103,AED,Active
ACC_1000122,CUST_100103,AED,Active
ACC_1000123,CUST_100104,AED,Active
ACC_1000124,CUST_100104,AED,Active
ACC_1000125,CUST_100105,AED,Active
ACC_1000126,CUST_100106,AED,Active
ACC_1000127,CUST_100107,AED,Active
ACC_1000128,CUST_100108,USD,Active
ACC_1000129,CUST_100109,AED,Active
ACC_1000130,CUST_100109,AED,Active
ACC_1000131,CUST_100110,USD,Active
ACC_1000132,CUST_100111,AED,Active
ACC_1000133,CUST_100112,AED,Active
ACC_1000134,CUST_100113,EUR,Active
ACC_1000135,CUST_100114,AED,Active
ACC_1000136,CUST_100115,AED,Active
