hop1_from,hop1_to,hop1_txn,hop1_amount,hop1_timestamp,hop2_from,hop2_to,hop2_txn,hop2_amount,hop2_timestamp,decay_ratio,hop3_txn,hop3_to_country,hop3_amount,hop3_timestamp,hop3_decay_ratio,scenario_id
ACC_1000446,ACC_1003302,TXN_76EAC5F943,240335.0,2023-07-25,ACC_1003302,ACC_1010958,TXN_CB1F95EA7B,229942.89,2023-07-26,0.9568,TXN_9B9A74BED1,BVI,220101.46,2023-07-28,0.9572,SCEN_LAY_c929c0
ACC_1000776,ACC_1011144,TXN_58288C8A06,402114.0,2023-01-17,ACC_1011144,ACC_1006681,TXN_C010575606,383209.27,2023-01-18,0.953,TXN_374C6085F6,Seychelles,353548.08,2023-01-20,0.9226,SCEN_LAY_14736b
ACC_1000978,ACC_1003678,TXN_B5115AA65B,388745.0,2023-10-18,ACC_1003678,ACC_1005124,TXN_25BB828207,371466.13,2023-10-20,0.9556,TXN_91B5AC35D2,Seychelles,356553.72,2023-10-21,0.9599,SCEN_LAY_170658
ACC_1001154,ACC_1004649,TXN_3D6A3C6E92,446039.0,2023-06-18,ACC_1004649,ACC_1005029,TXN_733C5F45BF,420570.9,2023-06-20,0.9429,TXN_F70D3053E7,Cayman Islands,401016.58,2023-06-21,0.9535,SCEN_LAY_41c6bc
ACC_1001506,ACC_1002236,TXN_D29DD3D9EA,241467.0,2023-06-25,ACC_1002236,ACC_1011792,TXN_1A14C11DDF,232594.15,2023-06-26,0.9633,TXN_71FADCAFF6,Panama,222301.04,2023-06-27,0.9557,SCEN_LAY_e92ceb
ACC_1001771,ACC_1005357,TXN_F0638DA26A,112650.0,2023-06-22,ACC_1005357,ACC_1004225,TXN_407A59948F,104489.04,2023-06-24,0.9276,TXN_1457BD540F,BVI,96119.68,2023-06-25,0.9199,SCEN_LAY_2b5a30
ACC_1002409,ACC_1007701,TXN_9A6FEFCA34,383242.0,2023-03-03,ACC_1007701,ACC_1008316,TXN_8EF9C78AA7,360472.7,2023-03-04,0.9406,TXN_EE998E250A,Seychelles,337068.77,2023-03-05,0.9351,SCEN_LAY_f9dd24
ACC_1003562,ACC_1006989,TXN_A222CFD9C9,278072.0,2023-08-11,ACC_1006989,ACC_1003226,TXN_4CCCF67F02,251223.42,2023-08-13,0.9034,TXN_A0170A51E0,Cayman Islands,231296.62,2023-08-14,0.9207,SCEN_LAY_1c5823
ACC_1003946,ACC_1010459,TXN_01A976FF5C,212515.0,2023-06-06,ACC_1010459,ACC_1004748,TXN_1BAD5595F4,207498.5,2023-06-08,0.9764,TXN_91332526D5,Cayman Islands,194975.66,2023-06-09,0.9396,SCEN_LAY_207df2
ACC_1004156,ACC_1007662,TXN_3CC5005CF4,300338.0,2023-09-23,ACC_1007662,ACC_1008970,TXN_65595AB69C,290407.79,2023-09-25,0.9669,TXN_7E3B859FA4,BVI,278531.62,2023-09-26,0.9591,SCEN_LAY_8df33a
ACC_1004837,ACC_1002700,TXN_4951578274,413105.0,2023-06-19,ACC_1002700,ACC_1011046,TXN_0DEEE7388F,374093.07,2023-06-21,0.9056,TXN_037D0C2AED,Cayman Islands,361570.8,2023-06-22,0.9665,SCEN_LAY_4ef8d4
ACC_1005232,ACC_1011547,TXN_D8FCC05899,331712.0,2023-03-14,ACC_1011547,ACC_1003369,TXN_8F0D33D61B,320357.34,2023-03-15,0.9658,TXN_3F04D2E6E8,Panama,306922.92,2023-03-16,0.9581,SCEN_LAY_effbce
