customer_id,inflow_timestamp,inflow_amount,total_outflow,outflow_ratio,num_counterparties,touches_high_risk_or_offshore,threshold_applied,transaction_ids
CUST_100251,2023-03-04 10:00:00,173396.0,163073.1,0.9405,3,True,0.8,"['TXN_AEC884AD43', 'TXN_2187FD77AC', 'TXN_40BCAB8305']"
CUST_100311,2023-08-24 11:00:00,654307.29,635758.85,0.9717,3,True,0.8,"['TXN_740DF961F5', 'TXN_AC43A6125B', 'TXN_1A7CD80116']"
CUST_100412,2023-10-07 10:00:00,217268.0,207180.2,0.9536,2,True,0.8,"['TXN_1BE64C461B', 'TXN_B2E4AC59D8']"
CUST_100459,2023-03-24 11:00:00,227878.0,220535.05,0.9678,1,True,0.8,['TXN_1172205037']
CUST_100528,2023-01-22 09:00:00,115389.0,109342.39,0.9476,1,True,0.8,['TXN_69E03F6BD7']
CUST_100784,2023-01-29 11:00:00,149397.0,137479.95,0.9202,1,True,0.8,['TXN_7FB86A4054']
CUST_101439,2023-03-08 09:00:00,130383.0,127019.08,0.9742,1,True,0.8,['TXN_940848941D']
CUST_101500,2023-01-12 11:00:00,213856.0,202184.94,0.9454,2,True,0.8,"['TXN_C6D5103B4B', 'TXN_B5457028C3', 'TXN_9B730E9773', 'TXN_26E9DD4BC4']"
CUST_101736,2023-06-27 09:00:00,173268.0,170387.85,0.9834,3,True,0.8,"['TXN_D844B27A72', 'TXN_B5BBE57A6F', 'TXN_CFC9B4C321']"
CUST_102056,2023-03-07 11:00:00,89514.0,83854.19,0.9368,2,True,0.8,"['TXN_E393D77FFA', 'TXN_38B807E3D6']"
CUST_102168,2023-01-11 11:00:00,96781.0,89765.11,0.9275,2,True,0.8,"['TXN_E41B46CCCC', 'TXN_BC8E0C4A5E']"
CUST_102265,2023-02-17 09:00:00,140077.0,136111.63,0.9717,1,True,0.8,['TXN_BA7092E514']
CUST_102418,2023-03-17 11:00:00,119208.0,118546.44,0.9945,3,True,0.8,"['TXN_F140B44510', 'TXN_DFE1653B3B', 'TXN_75B82D6DE0']"
CUST_102444,2023-01-22 09:00:00,219345.0,212653.77,0.9695,2,True,0.8,"['TXN_D4332D6163', 'TXN_51E0499325']"
CUST_102486,2023-07-24 09:00:00,208345.0,190906.98,0.9163,2,True,0.8,"['TXN_35DEB8D162', 'TXN_6DEEB2187D', 'TXN_AAEACF116E', 'TXN_F98BF74BA3']"
CUST_102506,2023-04-30 11:00:00,380257.99,370323.99,0.9739,1,True,0.8,['TXN_3ED855DC02']
CUST_102980,2023-08-04 09:00:00,215637.0,199957.67,0.9273,2,True,0.8,"['TXN_04206D8332', 'TXN_B2A283162C']"
CUST_102981,2023-07-28 09:00:00,121208.0,117472.69,0.9692,3,True,0.8,"['TXN_67EA1D62F7', 'TXN_F5C0F9D9E7', 'TXN_6EF9C388C6', 'TXN_874E8E1EE2']"
CUST_103023,2023-09-28 09:00:00,16121.98,24606.82,1.5263,2,False,0.95,"['TXN_0B4865A3F9', 'TXN_FEF3505C5D']"
CUST_103119,2023-10-14 11:00:00,152916.0,143403.62,0.9378,2,True,0.8,"['TXN_BA8D99BD42', 'TXN_97018EA080']"
CUST_103720,2023-08-29 10:00:00,184609.0,166958.22,0.9044,1,True,0.8,['TXN_C365EB8DA6']
CUST_103756,2023-06-12 11:00:00,150540.0,139268.64,0.9251,2,True,0.8,"['TXN_82A3965A71', 'TXN_296725572A']"
CUST_103840,2023-06-27 09:00:00,626872.9,585717.55,0.9343,2,True,0.8,"['TXN_1E794EA64E', 'TXN_954107A6C9']"
CUST_103884,2023-08-14 09:00:00,108010.0,101746.59,0.942,1,True,0.8,['TXN_5F8068560B']
CUST_104104,2023-09-22 11:00:00,662294.98,616977.43,0.9316,3,True,0.8,"['TXN_B8203A8E7D', 'TXN_8ED8F9BB6F', 'TXN_80F54980B3']"
CUST_104253,2023-04-02 10:00:00,87434.0,83788.8,0.9583,1,True,0.8,['TXN_D4C7E7C6C9']
CUST_104271,2023-09-27 09:00:00,145248.0,143485.34,0.9879,3,True,0.8,"['TXN_860C3AC9D9', 'TXN_F71174ED9F', 'TXN_B111ED38F7', 'TXN_1550B7B2D8', 'TXN_E156679992']"
CUST_104535,2023-09-03 10:00:00,462936.99,432796.89,0.9349,2,True,0.8,"['TXN_A36394D3C8', 'TXN_FC1EC6D133']"
CUST_104602,2023-06-22 10:00:00,899681.7,828011.43,0.9203,3,True,0.8,"['TXN_052C4E6892', 'TXN_B4DB1116BC', 'TXN_926C2798F6', 'TXN_203E5FB63B']"
CUST_104670,2023-09-29 09:00:00,197282.0,190130.08,0.9637,3,True,0.8,"['TXN_E9DAA7342E', 'TXN_E30FCDF893', 'TXN_3D74EA2B80']"
CUST_104749,2023-05-30 11:00:00,237634.0,231176.05,0.9728,3,True,0.8,"['TXN_B7F53410E9', 'TXN_4D9362A105', 'TXN_D3A03B8806']"
CUST_104899,2023-05-22 11:00:00,132123.0,125249.67,0.948,1,True,0.8,['TXN_8547C99588']
CUST_105188,2023-03-01 11:00:00,783652.74,750409.97,0.9576,1,True,0.8,['TXN_568688CB24']
CUST_105723,2023-09-10 10:00:00,221694.0,207427.28,0.9356,2,True,0.8,"['TXN_5D96F5C230', 'TXN_BCFECED2F2']"
CUST_105858,2023-04-08 11:00:00,87256.0,82327.93,0.9435,2,True,0.8,"['TXN_8E06362158', 'TXN_D8F981160A']"
CUST_106324,2023-01-27 11:00:00,185683.0,169987.74,0.9155,1,True,0.8,['TXN_BBAE578A66']
CUST_106328,2023-06-24 09:00:00,111608.0,102835.64,0.9214,1,True,0.8,['TXN_3BF9A7DD56']
CUST_106443,2023-05-16 09:00:00,143204.0,136418.39,0.9526,3,True,0.8,"['TXN_29EDB86BE7', 'TXN_105BDF2819', 'TXN_966441A43D']"
CUST_106544,2023-10-26 10:00:00,178322.0,163022.91,0.9142,1,True,0.8,['TXN_397259AC03']
CUST_106972,2023-09-22 11:00:00,169390.0,157633.73,0.9306,1,True,0.8,['TXN_CC35311B0C']
CUST_107021,2023-05-25 09:00:00,224593.0,217669.93,0.9692,2,True,0.8,"['TXN_224FA277F1', 'TXN_20064AAB2A']"
CUST_107039,2023-04-15 11:00:00,145847.0,137041.56,0.9396,1,True,0.8,['TXN_380C5E7A8B']
CUST_107042,2023-10-19 10:00:00,244183.0,231233.44,0.947,2,True,0.8,"['TXN_31BEDF46DF', 'TXN_B88989799E']"
CUST_107222,2023-03-29 10:00:00,231583.0,222779.32,0.962,2,True,0.8,"['TXN_83932DBBF0', 'TXN_1CA70F256F']"
CUST_107398,2023-04-17 11:00:00,238472.0,217965.26,0.914,1,True,0.8,['TXN_CCC11D0D30']
CUST_107773,2023-05-29 11:00:00,222101.0,211168.28,0.9508,1,True,0.8,['TXN_9207AC4B4A']
CUST_108052,2023-05-27 11:00:00,112546.0,113120.77,1.0051,2,True,0.8,"['TXN_97E8E9E02E', 'TXN_1DFF601465', 'TXN_12FEA0B568']"
CUST_108078,2023-05-13 11:00:00,176496.0,168201.72,0.953,2,True,0.8,"['TXN_481D7048C4', 'TXN_10A42EEF70']"
CUST_108128,2023-04-24 09:00:00,94758.0,86539.41,0.9133,1,True,0.8,['TXN_284233DBB0']
CUST_108210,2023-09-07 09:00:00,147018.0,137286.34,0.9338,2,True,0.8,"['TXN_537BE3719C', 'TXN_0B41B598AA']"
CUST_108219,2023-07-04 11:00:00,192297.0,185262.86,0.9634,2,True,0.8,"['TXN_BBE04A0115', 'TXN_9D7351FBDF']"
CUST_108331,2023-08-16 10:00:00,204171.0,185656.58,0.9093,1,True,0.8,['TXN_3B76BB0A88']
CUST_108514,2023-06-17 11:00:00,123158.0,117426.62,0.9535,2,True,0.8,"['TXN_EC3A793DBA', 'TXN_565D55BCAB']"
CUST_108569,2023-05-16 10:00:00,152839.0,147958.11,0.9681,2,True,0.8,"['TXN_2C9F3DF534', 'TXN_707D2CDD79']"
