employer_id,employer_name,industry
EMP_1000,"Rivera, Martinez and Richardson LLC",Education
EMP_1001,Paul-Kline LLC,Tech
EMP_1002,Morgan-Lopez LLC,Tech
EMP_1003,"Jimenez, Glass and Stone LLC",Healthcare
EMP_1004,Acosta Inc LLC,Construction
EMP_1005,Morrison-Short LLC,Education
EMP_1006,"Carter, Garcia and Murphy LLC",Retail
EMP_1007,Parker-Morrison LLC,Construction
EMP_1008,Jackson-Wallace LLC,Retail
EMP_1009,Williams-Berg LLC,Construction
EMP_1010,Mendez-Graham LLC,Healthcare
EMP_1011,"Whitney, Gould and Jones LLC",Education
EMP_1012,"Sullivan, Palmer and Brady LLC",Education
EMP_1013,Cisneros and Sons LLC,Finance
EMP_1014,"Gregory, Kim and Martinez LLC",Retail
EMP_1015,Osborne LLC LLC,Construction
EMP_1016,Reyes-Bradley LLC,Construction
EMP_1017,"Hernandez, Cole and Watson LLC",Tech
EMP_1018,Hines-Berry LLC,Finance
EMP_1019,"Richardson, Edwards and Ramirez LLC",Tech
EMP_1020,Johnson and Sons LLC,Tech
EMP_1021,Holmes-Mcintyre LLC,Tech
EMP_1022,Green LLC LLC,Retail
EMP_1023,"Griffin, Davies and Mitchell LLC",Retail
EMP_1024,Gonzalez-Taylor LLC,Healthcare
EMP_1025,Hayes Ltd LLC,Healthcare
EMP_1026,Osborn-Cochran LLC,Tech
EMP_1027,Contreras-Mckinney LLC,Finance
EMP_1028,"Daniels, Vance and York LLC",Construction
EMP_1029,"Mckinney, Graves and Thompson LLC",Retail
EMP_1030,Hicks-Martinez LLC,Finance
EMP_1031,Conner and Sons LLC,Education
EMP_1032,Johnson-Spencer LLC,Retail
EMP_1033,Mcdonald-Bird LLC,Retail
EMP_1034,Salazar Inc LLC,Healthcare
EMP_1035,Parker Ltd LLC,Construction
EMP_1036,"Mendoza, Jenkins and Ortiz LLC",Construction
EMP_1037,"Jones, Compton and Day LLC",Education
EMP_1038,Owens-Holmes LLC,Education
EMP_1039,Humphrey PLC LLC,Retail
EMP_1040,"Matthews, Saunders and Anderson LLC",Tech
EMP_1041,"Bartlett, Brown and Martinez LLC",Healthcare
EMP_1042,Torres and Sons LLC,Healthcare
EMP_1043,Donovan-Perez LLC,Retail
EMP_1044,"Jacobson, Singleton and King LLC",Finance
EMP_1045,"Huber, Hill and Weber LLC",Tech
EMP_1046,"Ferguson, Shaw and Jackson LLC",Retail
EMP_1047,"Moore, Hopkins and Le LLC",Tech
EMP_1048,"Morgan, Bradshaw and Williams LLC",Tech
EMP_1049,Miller Ltd LLC,Tech
EMP_1050,"Baker, Clark and Armstrong LLC",Retail
EMP_1051,"Fowler, Jimenez and Burton LLC",Healthcare
EMP_1052,May-Turner LLC,Healthcare
EMP_1053,Ballard Ltd LLC,Tech
EMP_1054,Evans-Jones LLC,Finance
EMP_1055,Moore Group LLC,Construction
EMP_1056,Marshall-Peterson LLC,Retail
EMP_1057,Edwards Ltd LLC,Construction
EMP_1058,Gross-Valencia LLC,Finance
EMP_1059,Anderson-Wood LLC,Retail
EMP_1060,"Rodriguez, Allen and Martinez LLC",Tech
EMP_1061,Wright-Davis LLC,Healthcare
EMP_1062,Dougherty-Lin LLC,Construction
EMP_1063,Wright-Grimes LLC,Education
EMP_1064,Li PLC LLC,Education
EMP_1065,"Edwards, Hines and Jimenez LLC",Finance
EMP_1066,"Owens, Koch and Jimenez LLC",Tech
EMP_1067,Landry PLC LLC,Construction
EMP_1068,Levy-Lewis LLC,Tech
EMP_1069,Williams-Campbell LLC,Construction
EMP_1070,"Khan, Pena and Ruiz LLC",Finance
EMP_1071,"Smith, Rodriguez and Anderson LLC",Finance
EMP_1072,Luna-Gallagher LLC,Education
EMP_1073,Williams-Williams LLC,Tech
EMP_1074,"Lee, Tran and Jones LLC",Retail
EMP_1075,"Cole, Pierce and Bryan LLC",Education
EMP_1076,"Becker, Wilson and Hester LLC",Tech
EMP_1077,Brooks-Hatfield LLC,Education
EMP_1078,"Mcmillan, Fischer and Gonzalez LLC",Retail
EMP_1079,"Morales, Williams and Williams LLC",Healthcare
EMP_1080,"Cook, Wells and Bryant LLC",Healthcare
EMP_1081,"Barry, Taylor and Velazquez LLC",Healthcare
EMP_1082,Martin-Ewing LLC,Healthcare
EMP_1083,"Kirby, Wheeler and Romero LLC",Construction
EMP_1084,"Patel, Erickson and Evans LLC",Healthcare
EMP_1085,Richardson Ltd LLC,Retail
EMP_1086,Whitney PLC LLC,Finance
EMP_1087,Robles-Swanson LLC,Finance
EMP_1088,"Soto, Carlson and Baker LLC",Construction
EMP_1089,"Patton, Parsons and Lane LLC",Healthcare
EMP_1090,"Williams, Castillo and Warren LLC",Healthcare
EMP_1091,"Harvey, Randall and Hernandez LLC",Healthcare
EMP_1092,"Allen, Armstrong and Graves LLC",Education
EMP_1093,Smith LLC LLC,Tech
EMP_1094,Hernandez-Vaughn LLC,Education
EMP_1095,Shaw-Carr LLC,Tech
EMP_1096,Salas-Fitzgerald LLC,Healthcare
EMP_1097,Thornton PLC LLC,Healthcare
EMP_1098,Hoffman Ltd LLC,Education
EMP_1099,Fox-Edwards LLC,Education
EMP_1100,Stevens PLC LLC,Tech
EMP_1101,Payne-Lowe LLC,Finance
EMP_1102,"Becker, Lara and Baker LLC",Tech
EMP_1103,Lee-Wright LLC,Education
EMP_1104,"Evans, David and Hendrix LLC",Retail
EMP_1105,Bush-Vaughn LLC,Education
EMP_1106,Stewart-Bailey LLC,Retail
EMP_1107,"Hill, Martinez and Rhodes LLC",Construction
EMP_1108,Huang-Foster LLC,Education
EMP_1109,Blevins-Ballard LLC,Construction
EMP_1110,Williams-Moses LLC,Finance
EMP_1111,Reed Group LLC,Tech
EMP_1112,"Scott, Mendoza and Harris LLC",Retail
EMP_1113,"Nelson, Hoffman and Nelson LLC",Tech
EMP_1114,Gilbert PLC LLC,Construction
EMP_1115,Sanchez Ltd LLC,Retail
EMP_1116,"Perez, Hall and Garcia LLC",Tech
EMP_1117,Love-Garcia LLC,Education
EMP_1118,Smith PLC LLC,Healthcare
EMP_1119,Russell Group LLC,Construction
EMP_1120,Santos-Avila LLC,Tech
EMP_1121,Morris-Brewer LLC,Construction
EMP_1122,Pearson and Sons LLC,Construction
EMP_1123,"Rodgers, Jefferson and Johnson LLC",Retail
EMP_1124,Butler and Sons LLC,Retail
EMP_1125,Osborn Group LLC,Healthcare
EMP_1126,Lopez-Curry LLC,Education
EMP_1127,Mcdowell-Smith LLC,Construction
EMP_1128,"Morrison, Hebert and Rogers LLC",Tech
EMP_1129,Hays-Daniels LLC,Finance
EMP_1130,Small-Anderson LLC,Construction
EMP_1131,"Mcdonald, Lee and Rodriguez LLC",Construction
EMP_1132,Simon Ltd LLC,Healthcare
EMP_1133,Higgins-Smith LLC,Education
EMP_1134,Gibbs-Bradley LLC,Finance
EMP_1135,Thompson Ltd LLC,Retail
EMP_1136,Wilcox-Robertson LLC,Retail
EMP_1137,Morales Inc LLC,Tech
EMP_1138,Holden Group LLC,Finance
EMP_1139,Boyle-Smith LLC,Retail
EMP_1140,Young-Molina LLC,Tech
EMP_1141,Turner-Sharp LLC,Education
EMP_1142,Green LLC LLC,Tech
EMP_1143,"Young, Contreras and Marshall LLC",Retail
EMP_1144,Sullivan PLC LLC,Healthcare
EMP_1145,"Carrillo, Vaughn and Fowler LLC",Healthcare
EMP_1146,Richardson-Walker LLC,Healthcare
EMP_1147,Mendoza Group LLC,Retail
EMP_1148,"Zhang, Brooks and Miles LLC",Healthcare
EMP_1149,Todd-Pham LLC,Finance
EMP_1150,Gill Ltd LLC,Education
EMP_1151,"Marks, Miller and Griffin LLC",Tech
EMP_1152,"Cox, Stark and Rodriguez LLC",Tech
EMP_1153,"Leach, Harris and Herrera LLC",Retail
EMP_1154,Murphy PLC LLC,Healthcare
EMP_1155,Wilson-Harris LLC,Healthcare
EMP_1156,"Burns, Nolan and Griffin LLC",Construction
EMP_1157,Chavez PLC LLC,Education
EMP_1158,Bryant-Brown LLC,Finance
EMP_1159,Chambers-Parker LLC,Tech
EMP_1160,Foster Inc LLC,Construction
EMP_1161,"Robinson, Jones and Henderson LLC",Construction
EMP_1162,"Brown, Mcknight and Michael LLC",Retail
EMP_1163,Andersen Group LLC,Tech
EMP_1164,Mitchell and Sons LLC,Retail
EMP_1165,Cannon Ltd LLC,Finance
EMP_1166,"Stuart, Brooks and Vance LLC",Construction
EMP_1167,Kane-Knox LLC,Construction
EMP_1168,Miller-Brandt LLC,Education
EMP_1169,"Anderson, Dalton and Wilson LLC",Finance
EMP_1170,"Long, Anderson and Irwin LLC",Construction
EMP_1171,Avila LLC LLC,Finance
EMP_1172,Nunez-Stephens LLC,Tech
EMP_1173,"Gray, Hall and Murray LLC",Healthcare
EMP_1174,Hill Ltd LLC,Construction
EMP_1175,Johnson Ltd LLC,Education
EMP_1176,Mendez-Mayer LLC,Tech
EMP_1177,Allen Inc LLC,Finance
EMP_1178,Wheeler Group LLC,Retail
EMP_1179,"Powers, Brennan and Sanchez LLC",Tech
EMP_1180,Morales and Sons LLC,Construction
EMP_1181,"Robinson, Shields and Brown LLC",Finance
EMP_1182,"Holder, Young and Hendricks LLC",Healthcare
EMP_1183,"Flores, Harper and Chambers LLC",Tech
EMP_1184,Young-Walter LLC,Construction
EMP_1185,"Boyd, Gutierrez and Hill LLC",Education
EMP_1186,"Fry, Hobbs and Buck LLC",Retail
EMP_1187,"Shelton, Peters and Williams LLC",Finance
EMP_1188,David-Powers LLC,Tech
EMP_1189,"Flores, Butler and Hernandez LLC",Tech
EMP_1190,White-Medina LLC,Healthcare
EMP_1191,Atkinson LLC LLC,Healthcare
EMP_1192,"Thomas, Ford and Brown LLC",Education
EMP_1193,Faulkner-Grant LLC,Retail
EMP_1194,Price LLC LLC,Education
EMP_1195,Rivera Inc LLC,Construction
