transaction_id,account_id,scenario_id,scenario_type,scenario_role,is_suspicious
TXN_D9C69271D1,ACC_1008457,SCEN_STR_5063ed,Structuring,structuring_deposit,True
TXN_2F7CA85B52,ACC_1008457,SCEN_STR_5063ed,Structuring,structuring_deposit,True
TXN_57EF2B1D13,ACC_1008457,SCEN_STR_5063ed,Structuring,structuring_deposit,True
TXN_288BDFE9AD,ACC_1008457,SCEN_STR_5063ed,Structuring,structuring_deposit,True
TXN_920B674DD8,ACC_1008457,SCEN_STR_5063ed,Structuring,structuring_deposit,True
TXN_EA5EFB5163,ACC_1010578,SCEN_STR_699e71,Structuring,structuring_deposit,True
TXN_9FF54B3419,ACC_1010578,SCEN_STR_699e71,Structuring,structuring_deposit,True
TXN_159B96EC16,ACC_1010578,SCEN_STR_699e71,Structuring,structuring_deposit,True
TXN_853BF2CA73,ACC_1010578,SCEN_STR_699e71,Structuring,structuring_deposit,True
TXN_341B4AD9B4,ACC_1011551,SCEN_STR_21d8a7,Structuring,structuring_deposit,True
TXN_C52D617809,ACC_1011551,SCEN_STR_21d8a7,Structuring,structuring_deposit,True
TXN_9CA52A653C,ACC_1011551,SCEN_STR_21d8a7,Structuring,structuring_deposit,True
TXN_B6DE80C26A,ACC_1011551,SCEN_STR_21d8a7,Structuring,structuring_deposit,True
TXN_59CB18BF02,ACC_1005025,SCEN_STR_cf18e0,Structuring,structuring_deposit,True
TXN_4CDCC679FC,ACC_1005025,SCEN_STR_cf18e0,Structuring,structuring_deposit,True
TXN_36C97D41A0,ACC_1005025,SCEN_STR_cf18e0,Structuring,structuring_deposit,True
TXN_F731CF250F,ACC_1005025,SCEN_STR_cf18e0,Structuring,structuring_deposit,True
TXN_A4455C69FF,ACC_1005025,SCEN_STR_cf18e0,Structuring,structuring_deposit,True
TXN_D768994A53,ACC_1005025,SCEN_STR_cf18e0,Structuring,structuring_deposit,True
TXN_D2A991FB62,ACC_1005709,SCEN_STR_7ffd2b,Structuring,structuring_deposit,True
TXN_FB918C1D2D,ACC_1005709,SCEN_STR_7ffd2b,Structuring,structuring_deposit,True
TXN_0650D8C9F4,ACC_1005709,SCEN_STR_7ffd2b,Structuring,structuring_deposit,True
TXN_959882525B,ACC_1005709,SCEN_STR_7ffd2b,Structuring,structuring_deposit,True
TXN_67967C5FB8,ACC_1007694,SCEN_STR_bd88e9,Structuring,structuring_deposit,True
TXN_A3CB373236,ACC_1007694,SCEN_STR_bd88e9,Structuring,structuring_deposit,True
TXN_4EC3573242,ACC_1007694,SCEN_STR_bd88e9,Structuring,structuring_deposit,True
TXN_CA97825D5A,ACC_1007694,SCEN_STR_bd88e9,Structuring,structuring_deposit,True
TXN_3BBA5858C2,ACC_1007694,SCEN_STR_bd88e9,Structuring,structuring_deposit,True
TXN_479B08A181,ACC_1003448,SCEN_STR_e0b52b,Structuring,structuring_deposit,True
TXN_C81B6ABF4B,ACC_1003448,SCEN_STR_e0b52b,Structuring,structuring_deposit,True
TXN_31A55A1E9F,ACC_1003448,SCEN_STR_e0b52b,Structuring,structuring_deposit,True
TXN_DFE91D4BD0,ACC_1003448,SCEN_STR_e0b52b,Structuring,structuring_deposit,True
TXN_BE5841FBEC,ACC_1003448,SCEN_STR_e0b52b,Structuring,structuring_deposit,True
TXN_743B8F9589,ACC_1005627,SCEN_STR_8e0d58,Structuring,structuring_deposit,True
TXN_DC86320108,ACC_1005627,SCEN_STR_8e0d58,Structuring,structuring_deposit,True
TXN_CB71C58E2E,ACC_1005627,SCEN_STR_8e0d58,Structuring,structuring_deposit,True
TXN_9B94010940,ACC_1005627,SCEN_STR_8e0d58,Structuring,structuring_deposit,True
TXN_B1321C57B9,ACC_1005627,SCEN_STR_8e0d58,Structuring,structuring_deposit,True
TXN_34938EC9BC,ACC_1004400,SCEN_STR_ca3231,Structuring,structuring_deposit,True
TXN_D48DAA0A46,ACC_1004400,SCEN_STR_ca3231,Structuring,structuring_deposit,True
TXN_D759E35394,ACC_1004400,SCEN_STR_ca3231,Structuring,structuring_deposit,True
TXN_48D84F7700,ACC_1004400,SCEN_STR_ca3231,Structuring,structuring_deposit,True
TXN_019664D1E7,ACC_1006618,SCEN_STR_96b3fd,Structuring,structuring_deposit,True
TXN_44120787BD,ACC_1006618,SCEN_STR_96b3fd,Structuring,structuring_deposit,True
TXN_BBE273F600,ACC_1006618,SCEN_STR_96b3fd,Structuring,structuring_deposit,True
TXN_31B7E19800,ACC_1006618,SCEN_STR_96b3fd,Structuring,structuring_deposit,True
TXN_1C907D8021,ACC_1006618,SCEN_STR_96b3fd,Structuring,structuring_deposit,True
TXN_C221B7D6CD,ACC_1006618,SCEN_STR_96b3fd,Structuring,structuring_deposit,True
TXN_465C8776C6,ACC_1005562,SCEN_STR_7e1962,Structuring,structuring_deposit,True
TXN_5FCC9BFA43,ACC_1005562,SCEN_STR_7e1962,Structuring,structuring_deposit,True
TXN_0AC4F82BFC,ACC_1005562,SCEN_STR_7e1962,Structuring,structuring_deposit,True
TXN_1D4583D3F3,ACC_1005562,SCEN_STR_7e1962,Structuring,structuring_deposit,True
TXN_BC50E7FD7C,ACC_1005562,SCEN_STR_7e1962,Structuring,structuring_deposit,True
TXN_386D60D19E,ACC_1009090,SCEN_STR_dff12a,Structuring,structuring_deposit,True
TXN_0A7A753D5F,ACC_1009090,SCEN_STR_dff12a,Structuring,structuring_deposit,True
TXN_8191ACD8AD,ACC_1009090,SCEN_STR_dff12a,Structuring,structuring_deposit,True
TXN_932D9BD398,ACC_1009090,SCEN_STR_dff12a,Structuring,structuring_deposit,True
TXN_64BF535D55,ACC_1004577,SCEN_STR_47fd81,Structuring,structuring_deposit,True
TXN_E67EB975BD,ACC_1004577,SCEN_STR_47fd81,Structuring,structuring_deposit,True
TXN_5AB024C5C1,ACC_1004577,SCEN_STR_47fd81,Structuring,structuring_deposit,True
TXN_E068AC0E5F,ACC_1004577,SCEN_STR_47fd81,Structuring,structuring_deposit,True
TXN_C483D7568F,ACC_1003730,SCEN_STR_4d482f,Structuring,structuring_deposit,True
TXN_6200D94D20,ACC_1003730,SCEN_STR_4d482f,Structuring,structuring_deposit,True
TXN_96650BD357,ACC_1003730,SCEN_STR_4d482f,Structuring,structuring_deposit,True
TXN_2CF74E31B8,ACC_1003730,SCEN_STR_4d482f,Structuring,structuring_deposit,True
TXN_27C408A834,ACC_1003730,SCEN_STR_4d482f,Structuring,structuring_deposit,True
TXN_A937C26237,ACC_1003730,SCEN_STR_4d482f,Structuring,structuring_deposit,True
TXN_306EE34F1F,ACC_1003855,SCEN_STR_062fb9,Structuring,structuring_deposit,True
TXN_C8BD1907A2,ACC_1003855,SCEN_STR_062fb9,Structuring,structuring_deposit,True
TXN_ECD0A88442,ACC_1003855,SCEN_STR_062fb9,Structuring,structuring_deposit,True
TXN_589B9CA56A,ACC_1003855,SCEN_STR_062fb9,Structuring,structuring_deposit,True
TXN_47308B03CA,ACC_1003855,SCEN_STR_062fb9,Structuring,structuring_deposit,True
TXN_F75880D8FA,ACC_1003855,SCEN_STR_062fb9,Structuring,structuring_deposit,True
TXN_F5B40C397D,ACC_1007105,SCEN_STR_263a37,Structuring,structuring_deposit,True
