merchant_id,merchant_name,category,country
MERCH_1000,"Rodriguez, Figueroa and Sanchez Utility",Utility,United Arab Emirates
MERCH_1001,Doyle Ltd Luxury,Luxury,United Arab Emirates
MERCH_1002,"Mcclain, Miller and Henderson Fuel",Fuel,United Arab Emirates
MERCH_1003,Davis and Sons Restaurant,Restaurant,United Arab Emirates
MERCH_1004,"Guzman, Hoffman and Baldwin Supermarket",Supermarket,United Arab Emirates
MERCH_1005,"Gardner, Robinson and Lawrence Supermarket",Supermarket,United Arab Emirates
MERCH_1006,Blake and Sons Supermarket,Supermarket,United Arab Emirates
MERCH_1007,"Henderson, Ramirez and Lewis E-commerce",E-commerce,UK
MERCH_1008,Garcia-James Supermarket,Supermarket,United Arab Emirates
MERCH_1009,Abbott-Munoz Luxury,Luxury,United Arab Emirates
MERCH_1010,Blair PLC Healthcare,Healthcare,United Arab Emirates
MERCH_1011,Dudley Group Supermarket,Supermarket,United Arab Emirates
MERCH_1012,Arnold Ltd Supermarket,Supermarket,United Arab Emirates
MERCH_1013,"Mcclure, Ward and Lee Supermarket",Supermarket,United Arab Emirates
MERCH_1014,Williams and Sons Telecom,Telecom,United Arab Emirates
MERCH_1015,Galloway-Wyatt Restaurant,Restaurant,United Arab Emirates
MERCH_1016,James Group Utility,Utility,United Arab Emirates
MERCH_1017,"Flowers, Martin and Kelly Telecom",Telecom,United Arab Emirates
MERCH_1018,"Adams, Zuniga and Wong Restaurant",Restaurant,United Arab Emirates
MERCH_1019,"Reid, Ferguson and Sanchez Supermarket",Supermarket,United Arab Emirates
MERCH_1020,Gray-Mayo Telecom,Telecom,United Arab Emirates
MERCH_1021,"Watts, Robinson and Nguyen Utility",Utility,United Arab Emirates
MERCH_1022,Perez Inc Rent,Rent,United Arab Emirates
MERCH_1023,Morales-Jones Fuel,Fuel,United Arab Emirates
MERCH_1024,"Walter, Edwards and Rios Supermarket",Supermarket,United Arab Emirates
MERCH_1025,Wilkerson-Day Restaurant,Restaurant,United Arab Emirates
